startX,startY,startZ,endX,endY,endZ,cyl_ID,parent_ID,axis_ID,branch_order,radius,length,volume,subtree_length
216725.892,5199921.062,196.041,216725.761,5199921.075,196.033,183,177,3645,3,0.004,0.132,0.00001,0.438
216725.761,5199921.075,196.033,216725.646,5199921.096,196.030,184,183,3645,3,0.004,0.117,0.00001,0.329
216725.646,5199921.096,196.030,216725.559,5199921.131,196.036,185,184,3645,3,0.004,0.094,0.00000,0.241
216725.559,5199921.131,196.036,216725.486,5199921.173,196.051,186,185,3645,3,0.003,0.085,0.00000,0.155
216725.486,5199921.173,196.051,216725.425,5199921.220,196.070,187,186,3645,3,0.003,0.079,0.00000,0.076
216725.425,5199921.220,196.070,216725.366,5199921.267,196.092,188,187,3645,3,0.002,0.079,0.00000,0.000
216725.892,5199921.062,196.041,216725.709,5199920.874,196.046,189,177,3647,4,0.002,0.262,0.00001,0.000
216727.292,5199921.074,196.308,216727.307,5199920.814,196.294,190,131,1722,2,0.002,0.261,0.00001,0.000
216725.761,5199921.075,196.033,216725.724,5199921.220,196.006,191,183,3646,4,0.002,0.152,0.00000,0.000
216725.948,5199920.514,195.989,216725.899,5199920.448,196.017,192,175,1727,3,0.004,0.086,0.00000,0.376
216725.899,5199920.448,196.017,216725.855,5199920.377,196.035,193,192,1727,3,0.004,0.085,0.00000,0.288
216725.855,5199920.377,196.035,216725.819,5199920.309,196.052,194,193,1727,3,0.003,0.079,0.00000,0.201
216725.819,5199920.309,196.052,216725.791,5199920.254,196.071,195,194,1727,3,0.003,0.065,0.00000,0.129
216725.791,5199920.254,196.071,216725.770,5199920.209,196.084,196,195,1727,3,0.003,0.051,0.00000,0.075
216727.516,5199920.009,195.910,216727.485,5199920.083,195.884,197,169,3121,4,0.002,0.083,0.00000,0.000
216725.948,5199920.514,195.989,216725.747,5199920.676,195.967,198,175,1728,4,0.002,0.259,0.00001,0.000
216727.307,5199921.066,196.500,216727.314,5199921.061,196.596,199,133,1,1,0.159,0.096,0.00765,17.743
216727.314,5199921.061,196.596,216727.321,5199921.057,196.692,200,199,1,1,0.159,0.096,0.00763,17.647
216727.321,5199921.057,196.692,216727.326,5199921.054,196.788,201,200,1,1,0.157,0.097,0.00753,17.550
216727.326,5199921.054,196.788,216727.331,5199921.054,196.885,202,201,1,1,0.156,0.097,0.00743,17.453
216726.132,5199920.407,195.771,216726.053,5199920.360,195.807,203,154,1725,3,0.003,0.099,0.00000,0.267
216726.053,5199920.360,195.807,216725.988,5199920.301,195.826,204,203,1725,3,0.003,0.090,0.00000,0.178
216725.988,5199920.301,195.826,216725.923,5199920.242,195.845,205,204,1725,3,0.003,0.091,0.00000,0.091
216725.923,5199920.242,195.845,216725.860,5199920.179,195.860,206,205,1725,3,0.002,0.090,0.00000,0.000
216726.132,5199920.407,195.771,216726.109,5199920.318,195.740,207,154,1724,2,0.005,0.097,0.00001,0.600
216726.109,5199920.318,195.740,216726.084,5199920.226,195.714,208,207,1724,2,0.004,0.099,0.00001,0.505
216726.084,5199920.226,195.714,216726.053,5199920.139,195.700,209,208,1724,2,0.004,0.093,0.00000,0.409
216726.053,5199920.139,195.700,216726.017,5199920.058,195.697,210,209,1724,2,0.004,0.089,0.00000,0.321
216726.017,5199920.058,195.697,216725.984,5199919.980,195.705,211,210,1724,2,0.003,0.085,0.00000,0.235
216725.984,5199919.980,195.705,216725.956,5199919.907,195.724,212,211,1724,2,0.003,0.080,0.00000,0.151
216725.956,5199919.907,195.724,216725.934,5199919.838,195.749,213,212,1724,2,0.003,0.077,0.00000,0.074
216725.934,5199919.838,195.749,216725.912,5199919.770,195.776,214,213,1724,2,0.002,0.076,0.00000,0.000
216726.036,5199921.115,196.446,216726.029,5199921.126,196.542,215,180,3127,2,0.136,0.097,0.00562,16.221
216726.029,5199921.126,196.542,216726.025,5199921.136,196.639,216,215,3127,2,0.132,0.097,0.00536,16.124
216726.025,5199921.136,196.639,216726.022,5199921.145,196.736,217,216,3127,2,0.128,0.097,0.00503,16.027
216726.022,5199921.145,196.736,216726.021,5199921.155,196.832,218,217,3127,2,0.127,0.097,0.00491,15.929
216727.667,5199920.070,195.931,216727.730,5199920.094,195.987,219,171,3116,3,0.006,0.088,0.00001,0.800
216727.730,5199920.094,195.987,216727.783,5199920.103,196.052,220,219,3116,3,0.006,0.084,0.00001,0.700
216726.109,5199920.318,195.740,216726.230,5199920.254,195.657,221,207,1726,3,0.002,0.161,0.00000,0.000
216725.770,5199920.209,196.084,216725.752,5199920.170,196.090,222,196,1727,3,0.003,0.043,0.00000,0.038
216725.752,5199920.170,196.090,216725.735,5199920.132,196.094,223,222,1727,3,0.002,0.042,0.00000,0.000
216727.714,5199920.049,195.839,216727.739,5199920.024,195.771,224,172,3117,4,0.003,0.076,0.00000,0.129
216727.739,5199920.024,195.771,216727.759,5199919.997,195.706,225,224,3117,4,0.003,0.073,0.00000,0.063
216727.759,5199919.997,195.706,216727.777,5199919.970,195.647,226,225,3117,4,0.002,0.068,0.00000,0.000
216727.783,5199920.103,196.052,216727.800,5199920.093,196.112,227,220,3116,3,0.005,0.064,0.00001,0.611
216727.800,5199920.093,196.112,216727.793,5199920.065,196.158,228,227,3116,3,0.005,0.054,0.00000,0.561
216727.793,5199920.065,196.158,216727.807,5199920.023,196.166,229,228,3116,3,0.004,0.045,0.00000,0.482
216727.807,5199920.023,196.166,216727.848,5199919.972,196.141,230,229,3116,3,0.004,0.071,0.00000,0.407
216727.848,5199919.972,196.141,216727.889,5199919.916,196.103,231,230,3116,3,0.004,0.079,0.00000,0.291
216727.889,5199919.916,196.103,216727.923,5199919.859,196.061,232,231,3116,3,0.003,0.079,0.00000,0.205
216727.923,5199919.859,196.061,216727.950,5199919.806,196.020,233,232,3116,3,0.003,0.072,0.00000,0.126
216727.950,5199919.806,196.020,216727.971,5199919.756,195.981,234,233,3116,3,0.003,0.067,0.00000,0.062
216727.971,5199919.756,195.981,216727.992,5199919.706,195.942,235,234,3116,3,0.002,0.066,0.00000,0.000
216726.021,5199921.155,196.832,216726.022,5199921.165,196.929,236,218,3127,2,0.127,0.097,0.00491,15.832
216726.022,5199921.165,196.929,216726.023,5199921.176,197.025,237,236,3127,2,0.126,0.096,0.00481,15.736
216726.023,5199921.176,197.025,216726.022,5199921.188,197.119,238,237,3127,2,0.124,0.096,0.00460,15.640
